Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-21,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-21,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-22,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),239,00:01:38,00:29:53,04:56:07,05:26:00,06:34:00,12:00:00,54
2018-01-22,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),63,00:01:38,00:25:12,09:50:48,10:16:00,01:44:00,12:00:00,14
2018-01-23,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),245,00:00:00,00:36:09,04:40:51,05:17:00,06:43:00,12:00:00,55
2018-01-23,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),114,00:01:38,00:26:36,08:27:24,08:54:00,03:06:00,12:00:00,25
2018-01-24,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),249,00:01:38,00:45:39,04:26:21,05:12:00,06:48:00,12:00:00,56
2018-01-24,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),193,00:01:38,00:22:31,06:17:29,06:40:00,05:20:00,12:00:00,44
2018-01-25,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),98,00:00:12,00:19:36,09:51:24,10:11:00,01:49:00,12:00:00,15
2018-01-25,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-26,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-26,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-27,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),168,00:00:28,00:19:00,09:16:00,09:35:00,02:25:00,12:00:00,20
2018-01-27,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-28,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),65,00:01:38,00:15:10,09:59:50,10:15:00,01:45:00,12:00:00,14
2018-01-28,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
