Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,57 | 56 | 165 | 167 | 166,(PATTA 2ND 10.0) & (PATTA 2ND 9.9) & (JS STARING BRACKET 1ST OPP) & (JS STARING BRACKET),49,00:01:41,07:15:17,00:00:00,06:39:00,05:21:00,12:00:00,44
2018-01-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,272 | 84 | 15 | 274,(SUP BR LH),10,00:25:05,01:05:27,04:57:33,06:03:00,05:57:00,12:00:00,49
2018-01-05,2,09:00PM - 09:00AM,saravan,gta 002,GTA/VMC-1260,jyoti VMC,167 | 56 | 54 | 55 | 51,(JS STARING BRACKET) & (PATTA 3RD OPP 9.90) & (PATTA 3RD),124,00:02:21,03:07:52,03:54:08,07:02:00,04:58:00,12:00:00,41
2018-01-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,272,(SUP BR LH),9,00:34:28,00:45:27,04:47:33,05:33:00,06:27:00,12:00:00,53
2018-01-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,54 | 55 | 166 | 47 | 82 | 130 | 131 | 1 | 132 | 133 | 134,(PATTA 3RD) & (PATTA 3RD OPP 9.90) & (FREE) & (OLEO 1OP STEP),14,00:18:11,00:20:33,08:54:27,09:15:00,02:45:00,12:00:00,22
2018-01-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,272 | 1177,(SUP BR LH),5,01:00:09,00:26:18,07:27:42,07:54:00,04:06:00,12:00:00,34
2018-01-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,131 | 162,(OLEO 1OP STEP),42,00:00:04,00:02:48,02:57:12,03:00:00,09:00:00,12:00:00,75
2018-01-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,1177 | 87 | 210 | 2 | 211,(SUP BR 2OP LH) & (SMALL Y0KE 1OP),28,00:08:27,00:10:44,06:15:16,06:26:00,05:34:00,12:00:00,46
2018-01-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,131 | 139,(OLEO 1OP STEP),24,00:16:03,00:02:48,06:51:12,06:54:00,05:06:00,12:00:00,42
2018-01-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,87 | 1177 | 272 | 166,(SMALL Y0KE 1OP),20,00:08:43,00:37:20,06:23:40,07:01:00,04:59:00,12:00:00,41
2018-01-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,131,(OLEO 1OP STEP),2,00:16:02,00:19:58,11:09:02,11:29:00,00:31:00,12:00:00,4
2018-01-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-01-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,87,(SMALL Y0KE 1OP),5,00:09:28,00:17:20,10:57:40,11:15:00,00:45:00,12:00:00,6
